edu_complete,ever_smoke,age_first_smoke,days_per_month_smoke,ever_drink,age_first_drink,days_per_month_drink,ever_marijuana,age_first_marijuana,days_per_month_marijuana,gang_around,ever_attack,drug_sell,gender,race,parent_religion,parents_income,age_months,family_struct,residency_change,rural_urban,sampling_weight
10,1,12,0,1,15,0,0,,,0,0,0,2,1,21,,190,1,1,1,323161
8,0,,,0,,,0,,,0,1,0,1,5,,,178,2,,1,270407
7,0,,,1,12,0,0,,,1,0,0,2,5,12,28000,163,4,1,1,352245
9,0,,,1,15,1,0,,,1,0,0,2,5,1,,192,4,1,1,295583
9,1,12,5,1,12,1,1,13,0,1,1,1,1,1,1,,186,1,1,1,243554
9,0,,,0,,,0,,,1,0,0,2,5,1,,188,4,1,1,192027
7,0,,,0,,,0,,,0,0,0,1,5,1,,173,4,1,1,218499
10,0,,,0,,,0,,,1,0,0,2,1,1,,202,1,1,1,291070
9,0,,,0,,,0,,,,0,0,1,1,1,,186,1,1,1,312976
7,0,,,0,,,0,,,1,0,0,1,1,1,,169,1,1,1,322559
9,1,11,0,1,12,0,0,,,1,0,0,2,5,1,25000,181,4,1,1,192027
10,0,,,0,,,0,,,1,0,0,1,5,1,,189,2,1,1,243495
7,0,,,0,,,0,,,0,0,0,1,5,,,154,4,,1,212380
10,0,,,0,,,0,,,0,0,0,1,5,1,,205,1,1,1,249070
7,0,,,0,,,0,,,1,0,0,2,5,,,183,1,,1,206017
8,1,14,0,1,12,2,0,,,1,0,0,1,5,1,13000,182,4,1,1,225741
8,1,13,0,0,,,1,14,0,1,0,0,2,5,1,,184,2,1,1,160233
7,0,,,1,12,0,0,,,0,0,0,1,2,1,,181,4,1,1,173251
6,0,,,0,,,0,,,0,0,0,1,2,1,,155,4,1,1,208401
8,0,,,1,15,0,0,,,0,0,0,1,2,1,,196,4,5,1,202830
7,1,14,9,1,14,4,1,14,0,1,0,0,1,5,1,,175,4,1,1,225741
8,1,14,30,1,13,2,0,,,1,0,0,1,5,1,,177,4,1,1,225741
7,0,,,0,,,0,,,0,1,0,2,5,1,,173,4,1,1,190949
5,0,,,0,,,0,,,1,1,0,1,5,11,,152,2,1,1,212715
6,0,,,0,,,0,,,1,0,0,2,5,11,,167,1,1,1,206342
9,0,,,0,,,0,,,0,0,0,1,2,13,,199,4,1,1,219180
8,1,15,3,1,12,12,0,,,1,,0,1,2,27,,189,4,1,1,216041
8,0,,,0,,,0,,,0,0,0,2,2,13,13000,159,2,1,1,198495
8,1,13,0,0,,,0,,,0,0,0,2,1,17,,176,1,1,1,270155
9,0,,,0,,,0,,,0,0,0,1,1,1,,194,1,1,1,261751
8,0,,,0,,,0,,,1,0,0,1,4,,,175,1,,1,273022
9,1,14,0,0,,,0,,,0,0,0,2,1,,,189,1,,1,253912
11,0,,,1,15,0,0,,,1,0,0,2,1,1,,199,1,1,1,314432
6,1,9,0,1,11,0,0,,,0,0,0,2,1,16,9000,149,1,1,1,318795
7,0,,,0,,,0,,,,0,0,1,4,,,175,1,,1,277647
10,1,14,30,1,12,3,1,13,25,1,1,1,2,1,1,20000,198,1,1,1,348609
11,0,,,0,,,0,,,0,0,0,2,1,1,30000,198,1,1,1,320597
10,0,,,0,,,0,,,0,0,0,2,1,1,30000,190,1,1,1,258891
10,1,14,1,1,13,4,1,15,0,1,0,0,1,1,4,,204,1,1,1,221534
5,0,,,0,,,0,,,0,0,0,2,4,,,153,1,,1,293178
7,0,,,0,,,0,,,1,0,0,2,4,,,169,1,,1,275452
6,0,,,0,,,0,,,0,0,0,1,4,,,162,1,,1,255337
9,0,,,0,,,0,,,,0,0,2,2,2,,187,4,1,1,179811
10,0,,,0,,,0,,,1,0,0,1,2,6,,186,1,1,1,212411
6,0,,,0,,,0,,,1,0,0,2,2,25,,160,4,2,1,163826
5,0,,,0,,,0,,,1,0,0,1,2,25,,160,4,1,1,196142
8,0,,,0,,,0,,,1,0,0,2,2,2,,176,8,1,1,188139
7,1,,0,1,13,0,0,,,1,0,0,2,2,2,,166,8,1,1,172883
8,0,,,0,,,0,,,0,0,0,2,2,2,5220,172,2,2,1,188139
6,0,,,0,,,0,,,1,0,0,2,2,2,,175,4,1,1,172883
10,0,,,,,,,,,1,0,0,1,2,1,,204,4,1,1,190898
7,0,,,0,,,0,,,0,0,0,1,2,1,,162,4,1,1,182233
7,0,,,0,,,0,,,0,0,0,2,2,2,12000,160,1,1,1,163826
6,0,,,0,,,0,,,1,0,0,2,2,21,,149,8,1,1,163826
9,0,,,0,,,0,,,0,0,0,2,1,1,,195,1,2,1,150807
8,0,,,1,13,2,0,,,0,0,0,2,1,1,40000,182,1,1,1,279674
8,0,,,,,,,,,,,,1,2,1,,183,1,1,1,163060
7,1,12,1,0,,,0,,,0,1,0,1,2,2,25000,160,1,1,1,182233
9,0,,,0,,,0,,,0,1,0,2,2,13,,191,9,1,1,179811
4,0,,,0,,,0,,,0,0,0,1,5,2,40000,157,2,1,1,281381
7,0,,,0,,,0,,,0,0,0,2,2,1,23000,165,4,1,1,172883
10,0,,,0,,,0,,,0,0,0,1,2,2,,204,1,1,1,197716
6,0,,,0,,,0,,,0,0,0,2,2,2,,149,1,1,1,169677
12,0,,,0,,,0,,,1,1,0,1,2,,,207,1,,1,197716
6,0,,,0,,,0,,,1,1,0,1,2,1,24000,156,1,1,1,203147
9,0,,,1,12,0,0,,,1,0,0,1,2,13,90254,199,10,1,1,197716
10,0,,,1,9,0,0,,,0,0,0,1,2,13,90254,199,4,1,1,197716
9,0,,,0,,,0,,,0,0,0,1,2,13,90254,196,10,1,1,194885
9,0,,,0,,,0,,,1,1,0,2,2,13,,189,1,1,1,186233
8,0,,,1,14,0,0,,,0,0,0,1,2,13,,178,1,1,1,168884
10,0,,,1,13,0,0,,,0,0,0,1,2,6,,205,8,1,1,197716
8,1,7,0,0,,,0,,,0,0,0,2,2,,,180,1,,1,194858
6,0,,,0,,,0,,,1,0,0,1,2,,,150,1,,1,203147
7,0,,,0,,,0,,,0,0,0,1,1,16,,170,1,2,1,250427
8,0,,,0,,,0,,,0,0,0,1,4,,,185,5,,1,289082
8,0,,,0,,,0,,,0,0,0,1,4,,,185,5,,1,289082
6,0,,,0,,,0,,,0,0,0,2,2,1,1800,150,1,1,1,222086
