TF JP SN EI YN count
T J S E Y 10   
T P S E Y  8   
F J S E Y  5   
F P S E Y  7   
T J S I Y 17   
T P S I Y  3   
F J S I Y  6   
F P S I Y  4   
T J S E N  67
T P S E N  34
F J S E N 101
F P S E N  72
T J S I N 123
T P S I N  49
F J S I N 132
F P S I N 102
T J N E Y  3
T P N E Y  2
F J N E Y  4
F P N E Y 15
T J N I Y  1
T P N I Y  5
F J N I Y  1
F P N I Y  6
T J N E N 20
T P N E N 16
F J N E N 27
F P N E N 65
T J N I N 12
T P N I N 30
F J N I N 30
F P N I N 73
