gender location belt injury count
Female Urban No  1 7287
Female Urban Yes 1 11587
Female Rural No  1 3246
Female Rural Yes 1 6134
Male   Urban No  1 10381
Male   Urban Yes 1 10969
Male   Rural No  1 6123
Male   Rural Yes 1 6693
Female Urban No  2 175
Female Urban Yes 2 126
Female Rural No  2 73
Female Rural Yes 2 94
Male   Urban No  2 136
Male   Urban Yes 2 83
Male   Rural No  2 141
Male   Rural Yes 2 74
Female Urban No  3 720
Female Urban Yes 3 577
Female Rural No  3 710
Female Rural Yes 3 564
Male   Urban No  3 566
Male   Urban Yes 3 259
Male   Rural No  3 710
Male   Rural Yes 3 353
Female Urban No  4 91
Female Urban Yes 4 48
Female Rural No  4 159
Female Rural Yes 4 82
Male   Urban No  4 96
Male   Urban Yes 4 37
Male   Rural No  4 188
Male   Rural Yes 4 74
Female Urban No  5 10
Female Urban Yes 5 8
Female Rural No  5 31
Female Rural Yes 5 17
Male   Urban No  5 14
Male   Urban Yes 5 1
Male   Rural No  5 45
Male   Rural Yes 5 12
